name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
QAQ000001,41,0,0,8.845180722,1.075396687,0.108421417,922.327
jieaini19981216,16,1,0,0,2.689157191,0.162331564,1490.776
Luigibros123,13,0,0,0,2.707644287,0,1338.423
Sky-1999,49,0,0,0,0.576903917,0,825.112
whyfuck2999,21,7,2,4.459616085,1.103192315,0.78198884,1282.627
ScuffJump,11,0,0,3.501009898,1.408394316,0,1555.107
NJMAX,51,0,0,0,0.851389827,0.223733667,312.872
VGSAVAGE,64,2,0,0,1.03555037,0.671326595,296.428
daichenyu,48,0,0,2.963555277,1.473611631,0,661.49
TY-Feng,40,0,0,2.156026703,1.673203082,0,768.616
Barry-Li,50,1,0,1.063956377,2.150967652,0.201808609,495.519
Pyroman88,59,0,0,0,1.747253104,0.129285744,317.127
Taehwi1-_,21,0,0,0.267351093,2.398171725,0,1448.354
BongRips4Allah,1,3,0,0.360892468,2.241993024,0.184028585,1852.973
Tiaren,10,0,0,3.751411538,0.867169666,0.014257642,1613.17
Darkgeo18,20,0,0,3.611372356,1.238311882,0,1268.075
Loli-Fox,85,0,0,0,0.980955622,0,112.015
gggyl_001,3,3,0,0.320823806,1.674821635,0.191267107,1871.728
MirAclEzzzz,12,0,0,2.517476225,1.056786226,0.03706923,1564.64
BOILQUAIL,41,0,1,1.346310413,1.674778658,0.005251446,761.695
jy156888,80,0,1,0,0.80919937,0.511814382,164.122
Bornforkilling,42,1,0,0.996269475,1.530024917,0.24643594,620.851
LMTDLSD,34,1,0,0,1.290189052,0.152589031,642.248
yes1x1,50,0,0,1.551276305,1.07626008,0,505.084
wdh112,39,0,0,0.803361479,1.276907116,0.12184176,738.663
KaRNoV82,38,2,0,0.252243967,2.35914324,0.254329644,786.381
Therealmmccoy,52,0,0,5.612871138,0.747592001,0,577.043
UPS_Auburn,88,1,0,0,0.303620296,0.771946259,115.293
Luhuaqing,41,0,0,3.296531829,0.971029338,0.074371264,752.979
TheRealBrendon,74,1,0,0,0.387917714,1.134403297,148.977
acq450,4,0,0,0,1.466774641,0,1726.276
dusk_raidz,55,0,0,2.25133808,2.9841177,0.092128033,401.615
YMT_05,20,0,0,0.000635065,2.553240297,0.025713129,1400.063
ShelbySuperSnake,74,1,0,0,0.303489049,0.854388733,145.133
4kmordor,76,0,0,0,0,0,144.436
BIG7Tong,45,0,0,0,2.21089561,0.068854969,363.082
Vasily-Zaicksevf,82,0,0,0,0,0,132.21
XiaoShuai778,43,0,0,0,1.571076902,0.090303955,730.865
